id;date;name;logging;weight;length;temperature;comp;swim_duration;bike_duration;run_duration;gel_carbo;drink_carbo;drink_org_carbo;gel_org_carbo;gelsbike;gelsrun;selected_org_gel_query;selected_org_drank_query;sport_drink_org_bike;water_org_bike;gels_org_bike;sport_drink_org_run;water_org_run;gels_org_run;ors_before_start;sport_drink_to_take_bike;water_to_take_bike;extra_water_to_take_bike;ors_to_take_bike;gels_to_take_bike;sport_drink_to_take_run;water_to_take_run;extra_water_to_take_run;ors_to_take_run;carbo_need_during_bike_min;carbo_need_during_bike_max;carbo_need_during_run_min;carbo_need_during_run_max;diff_carbo_run;diff_moister_run;dif_carbo;dif_moister;gels_to_take_run;weight_loss_during_bike;carbo_need_during_run;fluid_need_per_hour_bike;fluid_need_per_hour_swim;carbo_need_during_bike;fluid_need_during_bike;fluid_need_per_hour_run;fluid_need_during_run;weight_loss_during_run;act_fluid_need_bike;act_fluid_need_run
1;2021-07-06;engineer bleeding-edge;virtuele Man Ongelooflijk;34763;59097;14214;68552;61240;85486;99166;36515;74690;47203;89004;9447;98845;true;true;85217;57216;47343;23722;58553;37218;42658;30309;82112;91565;43346;86348;64859;6090;34998;64502;45396;96389;3599;10353;12294;55574;10602;81177;65823;98639;33550;49332;11400;91343;13205;63579;2878;13393;21852;53232
2;2021-07-06;up AI Markets;Senior;63404;63779;49990;4898;81387;90696;58326;89240;93133;80079;14628;24321;22676;true;true;15491;7484;71338;98439;93868;26035;12214;29762;5757;30433;31957;66494;78425;63298;40996;65248;68899;10868;17467;23603;79796;71739;42105;43382;97674;28174;75337;63375;81195;2965;22436;43245;73398;66573;92778;62349
3;2021-07-06;Planner Auto;paneel;44641;44857;49551;16027;48988;98693;71738;7816;21453;94808;35659;29334;76210;true;true;72628;15137;65431;69240;48647;50845;65317;37423;73761;55682;11324;82981;82066;34054;41339;35375;43940;32543;25240;21027;66229;77018;2465;25418;83539;34474;28413;2539;27282;67892;72883;41111;41668;48974;57746;89577
4;2021-07-06;Utrecht Liaison;JSON;73954;61396;40818;81506;69029;31978;38087;7501;979;66947;20872;49705;12456;false;true;32834;97260;52630;42269;62810;71657;75823;36249;95277;5580;41853;26076;47253;6842;56923;77901;996;10934;10264;28010;61058;49905;44410;42620;27497;89853;19042;34613;63578;75181;43764;37909;87997;50398;43150;80015
5;2021-07-07;draad;Investment architecture Ergonomic;23654;24273;32371;52613;24348;54482;39657;75609;7225;48699;69171;39913;82154;false;true;60076;58473;65290;15285;28965;29463;28545;52620;92666;17999;26972;48952;58026;73154;58898;48040;2942;39516;66059;1756;8626;50971;1872;54348;82251;81665;28900;31187;11631;54477;76529;87037;507;79483;38424;7518
6;2021-07-06;Ongelooflijk Plastic;Realigned SMS;24335;81276;28998;64226;95144;9292;31569;35737;1572;25569;24811;88599;27991;true;false;32230;20555;82920;12114;98367;61154;38008;90917;72997;33808;12254;31823;43784;70553;35630;59483;51259;8855;61894;85979;73745;6831;79897;63364;26850;96362;91866;25840;16839;19092;10822;29184;98328;59510;20732;23587
7;2021-07-07;Innovative;withdrawal Klein;77344;19342;396;71354;37883;76567;65090;25852;22195;98823;8122;59319;91865;true;false;66232;16114;93232;35295;62929;77810;28229;60281;20940;22372;88471;98318;37357;13516;66379;68816;22117;82379;43782;2075;65047;7522;40703;83633;69029;98817;29631;3542;42084;70736;87034;11110;75423;57675;45615;34263
8;2021-07-07;Gelderland bandwidth-monitored SCSI;Facilitator Synchronised deposit;48849;47859;3998;66262;26488;48337;47308;79613;70432;1345;82240;37403;96628;true;true;60014;48090;38360;950;14234;35668;20265;15764;93303;75335;70933;91577;50104;18885;8663;89287;59688;44072;36905;76583;37764;41277;51691;13515;82644;42388;33064;87533;70847;96066;36305;94635;60082;42193;3620;64607
9;2021-07-07;koningblauw;Baby;24841;43149;50665;71878;40816;99424;27832;6775;42036;80984;10622;54049;94080;true;false;51601;71779;78833;70533;69929;41001;9916;78030;93843;26278;99961;41860;97702;62956;38733;30618;12473;21835;7637;83688;53447;22679;56971;7242;98382;58922;69620;2376;20138;97024;47079;42104;69465;66945;55213;3182
10;2021-07-07;Specialist;Plastic;59265;87671;82872;18289;48178;54609;5238;53311;95681;86211;5506;36932;20757;true;true;98368;51634;62805;3815;35996;47910;28565;87900;68691;65147;5154;22709;22829;13283;11370;22830;60512;76515;94252;68365;92660;82560;43798;83943;80934;91323;75475;56239;43808;83713;71390;56904;74857;69744;60427;51474
