id;comp;name;selected_org_gel_query;selected_org_drank_query;ors_before_start;drink_carbo;gel_carbo;drink_org_carbo;gel_org_carbo;sport_drink_org_bike;water_org_bike;gels_org_bike;sport_drink_org_run;water_org_run;gels_org_run;sport_drink_to_take_bike;water_to_take_bike;extra_water_to_take_bike;ors_to_take_bike;gels_to_take_bike;sport_drink_to_take_run;water_to_take_run;extra_water_to_take_run;ors_to_take_run;gels_to_take_run;weight_loss_during_bike;carbo_need_during_run;fluid_need_per_hour_bike;fluid_need_per_hour_swim;carbo_need_during_bike;fluid_need_during_bike;fluid_need_per_hour_run;fluid_need_during_run;weight_loss_during_run;diff_carbo_run;diff_moister_run;dif_carbo;dif_moister;act_fluid_need_bike;act_fluid_need_run;carbo_need_during_bike_min;carbo_need_during_bike_max;carbo_need_during_run_min;carbo_need_during_run_max;start_gel;start_drank
1;invoice Guinea;envisioneer Zeep bus;false;true;63916;76828;81082;10992;79077;40065;8755;618;82286;20358;89048;35230;51664;81652;78225;16872;11225;85022;41267;21983;39414;11178;78187;52018;51373;71957;18392;98913;84104;16243;62385;47972;61627;23917;50456;53552;61449;96954;66991;12868;94124;3039
2;Enhanced;focus Factors;true;false;37073;19395;80785;48409;15365;64224;95434;82694;25971;74268;94384;88968;38668;90756;20559;91312;41147;51170;31307;62510;13250;85504;41035;25804;40041;10887;33547;27054;1887;98556;94521;61837;19137;86511;2715;24806;87854;54035;24555;30907;77252;90714
3;Ameliorated;Infrastructure;false;true;64746;39782;9699;66419;70356;45539;91659;72939;26681;45009;26498;70780;57169;74792;40948;47951;34621;3352;62766;48653;5333;99869;11747;41661;12231;59935;51175;30610;76179;42803;51023;74090;73278;96030;1556;8745;14795;68458;48922;63854;48755;85688
4;cross-platform indexing Guarani;Micronesië services unleash;true;true;44791;5568;12738;64301;69182;45486;52113;32980;98969;89601;26192;30030;28804;17272;5378;80284;12155;25551;51114;78823;43787;53409;13728;66848;45459;71874;28648;92049;73987;17399;26510;65671;92087;13232;74045;70234;40886;37374;67416;30058;34238;71811
5;National Direct THX;customized;false;false;16799;41670;41757;34271;98196;80640;69600;99409;26359;12051;6819;33250;36926;82263;92679;64741;84207;97766;1997;33523;9228;34436;30271;95707;2728;74019;66434;41104;2541;27184;97518;52497;83326;183;20527;80474;11081;91100;87347;97242;78537;55257
6;invoice;Zuid-Holland;true;false;55899;52084;38392;10967;73076;86645;80462;77713;83820;49918;67846;4274;39816;76390;18110;30239;7593;32768;69079;61867;35156;42801;10078;34216;59898;13359;30681;63202;63713;77387;11447;65797;32782;6942;78353;20223;51277;12391;58732;67538;44908;16236
7;Zwitserland Avon Plastic;stukjes Groningen;false;true;86534;17070;50071;82335;71749;35649;4107;32412;45998;56222;40213;39319;73684;61943;90887;25055;6192;1762;81226;62314;51790;35970;58992;28199;70679;35544;37751;57182;65132;26233;24661;48382;98311;95143;13313;70251;10975;68765;87064;32877;25196;16845
8;straat;Creative Utrecht;true;true;74727;97715;67028;28505;83878;12745;92778;96507;10422;83603;96532;68341;5656;32049;71304;18291;41497;7944;14358;7592;15377;62645;41490;59550;97672;26516;60367;24604;47050;53897;29055;46411;62556;31152;59740;62115;31175;73615;73878;14292;29962;39110
9;back-end grow;Shilling;true;false;12407;46314;79379;4253;167;34713;55779;50144;86329;5045;16445;2315;29013;71638;68559;86551;72413;69262;65212;22720;53540;70104;88165;32840;81626;91210;68027;9796;88039;69566;60921;52837;77292;62681;19397;14924;2519;77780;67400;65680;7112;77211
10;Schoenen;Producer;false;false;3034;24976;97504;31484;16448;90187;49589;77340;74039;9052;27846;59968;151;74631;76498;39316;17653;29606;94744;92316;56873;6645;8622;26057;49616;29906;1448;16900;96316;47849;36747;50739;17613;22213;25850;37740;67318;21105;39234;98475;18511;69187
