id;code;voucher_type;redeemed;max_date;amount;max_redeemed;category
1;reinvent Usability;indigo invoeren;4218;2021-07-06;58435;3115;SINGLE
2;Plastic Administrator;Bedfordshire Geweldig;30762;2021-07-07;39352;67091;MUTIPLE
3;functionalities payment rich;zilver;43386;2021-07-06;63648;96604;SINGLE
4;source in Kaas;back-end;3988;2021-07-06;37684;9767;SINGLE
5;monetize database;synthesize;92055;2021-07-07;44975;53631;MUTIPLE
6;orchestrate;Forward hacking;62819;2021-07-06;70562;43653;SINGLE
7;multi-tasking;in withdrawal;75601;2021-07-06;56827;8990;MUTIPLE
8;solutions Artistiek;Future;26130;2021-07-06;50465;71375;MUTIPLE
9;Zuid-Holland omzeilen;iterate edge;68756;2021-07-07;98995;67523;MUTIPLE
10;microchip Chips;invoice;24784;2021-07-06;70254;76680;SINGLE
